IPN,MPN,Manufacturer,Current – Output (Max),Voltage – Supply (Min),Voltage – Supply (Max),Voltage – Input (Max),Description,Symbol,Footprint,Datasheet
ICS-0001-0001,SN65HVD01DRCR,TI,,,,,RS-485 Interface with Lo voltage IO supply,g-ics:SN65HVD01,Package_SON:VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm,https://www.ti.com/lit/ds/symlink/sn65hvd01.pdf
ICS-0002-0001,SN74LVC1G04DCKR,TI,,,,,Inverters Single 1.65-V to 5.5-V,74xGxx:74LVC1GU04DRL,g-ics:DCK0005A_L,https://www.ti.com/lit/ds/symlink/sn74lvc1g04.pdf
ICS-0003-0001,DS2484R+T,Analog Devices,,,,,1-Wire Master,g-ics:DS2484R,Package_TO_SOT_SMD:TSOT-23-6;TSOT-23-6_HandSoldering,https://www.analog.com/media/en/technical-documentation/data-sheets/DS2484.pdf
ICS-0004-0001,TXS0102DCUR,Texas Instruments,,,,,IC TRANSLTR BIDIRECTIONAL 8VSSOP,g-ics:IC_TXS0102_DCU_DUAL_LVL_TRANS,Package_SO:VSSOP-8_2.4x2.1mm_P0.5mm,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftxs0102
ICS-0005-0001,SN74LVC1G125DBV,Texas Instruments,,,,,IC BUFF NON-INVERT 5.5V SOT23-5,g-ics:IC_74LVC1G125,Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g125
ICS-0006-0001,SN74LVC1G07DBVR,Texas Instruments,,,,,IC BUF NON-INVERT 5.5V SOT23-5,g-ics:IC_74LVC1G07,Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/lit/ds/symlink/sn74lvc1g07.pdf?ts=1695839538574&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FSN74LVC1G07
ICS-0007-0001,SIP32510DT-T1-GE3,Vishay Siliconix,,,,,IC PWR SWTCH N-CHAN 1:1 TSOT23-6,g-ics:IC_LOAD_SWITCH_3A_5VMAX,Package_TO_SOT_SMD:TSOT-23-6;TSOT-23-6_HandSoldering,https://www.vishay.com/docs/63577/sip32510.pdf
ICS-0008-0001,LT4321IUF#PBF,Analog Devices Inc.,3A,1.2V,5.5V,5.5V,IC OR CTRLR BRIDGE RECT POE 16QFN,g-ics:IC_LT4321_BRIDGE_CONTROLLER,Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.15x2.15mm;QFN-16-1EP_4x4mm_P0.65mm_EP2.15x2.15mm_ThermalVias,https://www.analog.com/media/en/technical-documentation/data-sheets/4321f.pdf
ICS-0009-0001,DS2782G+,Analog Devices Inc./Maxim Integrated,,,,,IC BATT MON LI-ION 1CELL 10TDFN,g-ics:IC_DS2782G_GAS_GAUGE,g-ics:21-0268_T1034N1_M-AA-XM,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2782.pdf
ICS-0010-0001,FT232HL-TRAY,"FTDI, Future Technology Devices International Ltd",,,,,IC HS USB TO UART/FIFO 48LQFP,g-ics:IC_FT232_LQFP,Package_QFP:LQFP-48_7x7mm_P0.5mm,https://ftdichip.com/wp-content/uploads/2023/09/DS_FT232H.pdf
ICS-0011-0001,"TL431AQDBZR,215",Nexperia USA Inc.,,,,,IC VREF SHUNT ADJ 1% TO236AB,g-ics:REFERENCE_TL431,Package_TO_SOT_SMD:SOT-23,https://assets.nexperia.com/documents/data-sheet/TL431_FAM.pdf
ICS-0012-0001,LTC4162EUFD-L42#TRPBF,Analog Devices Inc.,,,,,IC BATT MON LI-ION 1-8CELL 28QFN,g-ics:IC_LTC4162-L,Package_DFN_QFN:QFN-28-1EP_4x5mm_P0.5mm_EP2.65x3.65mm;QFN-28-1EP_4x5mm_P0.5mm_EP2.65x3.65mm_ThermalVias,http://www.analog.com/media/en/technical-documentation/data-sheets/LTC4162-L.pdf
ICS-0013-0001,PI3USB302-AZBEX,Diodes Incorporated,,,,,IC MUX/DEMUX 2:1 USB 3.0 20TQFN,g-ics:IC_PI3USB302-AZBEX,g-ics:QFN50P250X450X100-21N_PI3USB302-AZBEX,https://www.diodes.com/assets/Datasheets/PI3USB302-A.pdf
ICS-0014-0001,FUSB301TMX,onsemi,,,,,IC CONTROLLER USB 10TMLP,g-ics:IC_FUSB301TMX,g-ics:X2QFN10_1P6X1P2_ONS;X2QFN10_1P6X1P2_ONS-M;X2QFN10_1P6X1P2_ONS-L,https://www.onsemi.com/pdf/datasheet/fusb301-d.pdf
ICS-0015-0001,TL072CP,Texas Instruments,,4.5V,40V,40V,IC OPAMP JFET 2 CIRCUIT 8SOIC,,,
ICS-0015-0002,TL072CDR,Texas Instruments,,4.5V,40V,40V,IC OPAMP JFET 2 CIRCUIT 8DIP,,,
ICS-0016-0001,LM301AN,Texas Instruments,50mA,10V,44V,30V,General Purpose Amplifier 1 Circuit 8-DIP,Amplifier_Operational:LM301,Package_DIP:DIP-8_W7.62mm_Socket_LongPads,http://www.ti.com/lit/ds/symlink/lm101a-n.pdf
