IPN,MPN,Manufacturer,Description,Hfe,"Leakage, Collector",Symbol,Footprint,Datasheet
XTR-0001-0001,NPN_Ge,Generic,"Generic NPN Germanium, Low Gain, Low Leakage",40-70,,Device:Q_NPN_EBC,BB_Transistor:TO-92L_Wide_EBC,
XTR-0001-0002,NPN_Ge,Generic,"Generic NPN Germanium, Med Gain, Low Leakage",70-100,,Device:Q_NPN_EBC,BB_Transistor:TO-92L_Wide_EBC,
XTR-0001-0003,NPN_Ge,Generic,"Generic NPN Germanium, High Gain, Low Leakage",100-150,,Device:Q_NPN_EBC,BB_Transistor:TO-92L_Wide_EBC,
XTR-0001-0004,NPN_Ge,Generic,"Generic NPN Germanium, Low Gain, High Leakage",40-70,,Device:Q_NPN_EBC,BB_Transistor:TO-92L_Wide_EBC,
XTR-0001-0005,NPN_Ge,Generic,"Generic NPN Germanium, Med Gain, High Leakage",70-100,,Device:Q_NPN_EBC,BB_Transistor:TO-92L_Wide_EBC,
XTR-0001-0006,NPN_Ge,Generic,"Generic NPN Germanium, High Gain, High Leakage",100-150,,Device:Q_NPN_EBC,BB_Transistor:TO-92L_Wide_EBC,
XTR-0002-0001,PNP_Ge,Generic,"Generic PNP Germanium, Low Gain, Low Leakage",40-70,,Device:Q_PNP_EBC,BB_Transistor:TO-92L_Wide_EBC,
XTR-0002-0002,PNP_Ge,Generic,"Generic PNP Germanium, Med Gain, Low Leakage",70-100,,Device:Q_PNP_EBC,BB_Transistor:TO-92L_Wide_EBC,
XTR-0002-0003,PNP_Ge,Generic,"Generic PNP Germanium, High Gain, Low Leakage",100-150,,Device:Q_PNP_EBC,BB_Transistor:TO-92L_Wide_EBC,
XTR-0002-0004,PNP_Ge,Generic,"Generic PNP Germanium, Low Gain, High Leakage",40-70,,Device:Q_PNP_EBC,BB_Transistor:TO-92L_Wide_EBC,
XTR-0002-0005,PNP_Ge,Generic,"Generic PNP Germanium, Med Gain, High Leakage",70-100,,Device:Q_PNP_EBC,BB_Transistor:TO-92L_Wide_EBC,
XTR-0002-0006,PNP_Ge,Generic,"Generic PNP Germanium, High Gain, High Leakage",100-150,,Device:Q_PNP_EBC,BB_Transistor:TO-92L_Wide_EBC,
XTR-0003-0001,2N5458,Onsemi,JFET N-CH 25V TO92,,,Device:Q_NJFET_DSG,Package_TO_SOT_THT:TO-92_Inline_Wide,file:///C:/Users/jeremiah/KiCad/kicad-user-lib/datasheets/Transistors/JFET/2N5457-D.PDF
